"","State","City","0.001","0.005","0.1","0.2","0.4","0.5","0.6","0.8","1.0","1.2","1.4","1.6","1.8","2.0","2.5","3.0","Grupo_menor","Grupo_maior","Grupo"
"19","RJ","CARMO",23,21,21,22,21,22,21,22,23,21,23,22,23,23,22,24,"Medium Risk","Low Risk","Low Risk"
"20","RJ","CASIMIRO DE ABREU",16,14,14,15,14,15,14,15,16,14,16,15,16,16,15,17,"Medium Risk","Medium Risk","Medium Risk"
"21","RJ","COMENDADOR LEVY GASPARIAN",22,21,21,22,21,21,21,21,22,21,22,21,23,22,22,23,"Medium Risk","Low Risk","Low Risk"
"22","RJ","CONCEIÇÃO DE MACABU",23,21,21,22,22,22,21,21,23,21,23,21,23,23,22,23,"Medium Risk","Low Risk","Low Risk"
"23","RJ","CORDEIRO",25,23,23,24,23,23,23,23,24,23,24,23,25,24,24,25,"Low Risk","Low Risk","Low Risk"
"24","RJ","DUAS BARRAS",25,23,23,24,24,24,23,24,25,23,25,24,25,25,24,26,"Low Risk","Low Risk","Low Risk"
"25","RJ","DUQUE DE CAXIAS",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"High Risk","High Risk","High Risk"
"26","RJ","ENGENHEIRO PAULO DE FRONTIN",20,19,19,20,19,19,18,19,20,18,20,19,20,20,19,21,"Medium Risk","Medium Risk","Medium Risk"
"27","RJ","ESPIRITO SANTO",32,31,31,32,31,31,30,30,31,30,31,30,32,31,31,32,"Low Risk","Low Risk","Low Risk"
"28","RJ","GUAPIMIRIM",12,11,11,12,11,11,11,11,12,11,12,11,13,12,12,13,"High Risk","Medium Risk","Medium Risk"
"29","RJ","IGUABA GRANDE",17,16,16,17,16,16,16,16,17,16,17,16,18,17,17,18,"Medium Risk","Medium Risk","Medium Risk"
"30","RJ","ITABORAÍ",7,8,8,8,8,6,8,8,7,8,7,7,9,8,8,9,"High Risk","High Risk","High Risk"
"31","RJ","ITAGUAÍ",6,6,6,6,6,5,6,6,6,6,6,6,8,6,7,7,"High Risk","High Risk","High Risk"
"32","RJ","ITALVA",28,27,27,28,26,27,26,26,28,26,28,26,28,27,27,28,"Low Risk","Low Risk","Low Risk"
"33","RJ","ITAOCARA",26,25,25,26,25,25,25,25,26,24,26,24,26,26,25,26,"Low Risk","Low Risk","Low Risk"
"34","RJ","ITAPERUNA",20,18,18,19,19,19,18,19,20,19,20,19,20,20,20,21,"Medium Risk","Medium Risk","Medium Risk"
"35","RJ","ITATIAIA",15,14,14,15,14,15,14,14,16,14,16,14,16,16,15,17,"Medium Risk","Medium Risk","Medium Risk"
"36","RJ","JAPERI",10,9,9,10,9,9,9,9,10,9,10,9,11,10,10,11,"High Risk","High Risk","High Risk"
"37","RJ","LAJE DO MURIAÉ",32,30,30,31,30,30,29,29,30,29,30,29,31,30,30,31,"Low Risk","Low Risk","Low Risk"
"38","RJ","MACAÉ",12,11,11,12,11,11,11,11,12,11,13,11,13,13,12,13,"High Risk","Medium Risk","Medium Risk"
"39","RJ","MACUCO",27,25,25,26,25,25,25,25,26,25,26,25,27,27,26,27,"Low Risk","Low Risk","Low Risk"
"40","RJ","MAGÉ",8,8,8,8,8,6,8,8,7,8,8,7,9,8,8,9,"High Risk","High Risk","High Risk"
"41","RJ","MANGARATIBA",9,9,9,10,9,8,9,9,9,9,10,9,11,10,10,11,"High Risk","High Risk","High Risk"
"42","RJ","MARICÁ",8,8,8,9,8,7,8,8,8,8,8,8,9,8,8,9,"High Risk","High Risk","High Risk"
"43","RJ","MENDES",20,18,18,19,18,19,18,18,20,18,20,18,20,20,19,20,"Medium Risk","Medium Risk","Medium Risk"
"44","RJ","MESQUITA",6,6,6,6,6,5,6,6,6,6,6,6,7,6,6,7,"High Risk","High Risk","High Risk"
"45","RJ","MIGUEL PEREIRA",16,15,15,16,15,15,15,15,16,15,16,15,17,16,16,17,"Medium Risk","Medium Risk","Medium Risk"
"46","RJ","MINAS GERAIS",17,16,16,17,16,17,16,16,18,16,18,16,18,18,17,18,"Medium Risk","Medium Risk","Medium Risk"
"47","RJ","MIRACEMA",27,25,25,26,25,25,25,25,26,25,26,25,27,26,25,27,"Low Risk","Low Risk","Low Risk"
"48","RJ","NATIVIDADE",29,27,27,28,27,27,27,27,28,27,28,27,28,28,27,29,"Low Risk","Low Risk","Low Risk"
"49","RJ","NILÓPOLIS",5,5,5,5,5,4,5,5,5,5,5,5,6,5,5,6,"High Risk","High Risk","High Risk"
"50","RJ","NITERÓI",4,3,3,3,4,3,4,4,3,4,4,3,4,4,3,4,"High Risk","High Risk","High Risk"
"51","RJ","NOVA FRIBURGO",14,13,13,14,13,14,13,13,14,13,14,13,15,14,14,15,"High Risk","Medium Risk","Medium Risk"
"52","RJ","NOVA IGUAÇU",3,2,2,2,3,2,3,3,2,3,3,2,3,3,2,3,"High Risk","High Risk","High Risk"
"53","RJ","PARACAMBI",13,12,12,13,12,12,12,12,13,12,13,12,14,13,13,14,"High Risk","Medium Risk","Medium Risk"
"54","RJ","PARAÍBA DO SUL",20,18,18,19,18,19,18,18,20,18,20,18,20,20,19,20,"Medium Risk","Medium Risk","Medium Risk"
"55","RJ","PARATY",17,16,16,17,16,16,16,16,18,16,18,16,18,17,17,18,"Medium Risk","Medium Risk","Medium Risk"
"56","RJ","PATY DO ALFERES",19,17,18,19,18,18,17,18,19,17,19,18,19,19,18,20,"Medium Risk","Medium Risk","Medium Risk"
"57","RJ","PETRÓPOLIS",9,9,9,10,9,8,9,9,9,9,9,9,10,9,9,10,"High Risk","High Risk","High Risk"
"58","RJ","PINHEIRAL",18,17,17,18,17,18,17,17,19,17,19,17,19,19,18,19,"Medium Risk","Medium Risk","Medium Risk"
"59","RJ","PIRAÍ",13,12,12,13,12,12,12,12,14,12,14,12,14,14,13,15,"High Risk","Medium Risk","Medium Risk"
"60","RJ","PORCIÚNCULA",27,25,25,26,25,26,25,25,27,25,27,26,27,27,26,28,"Low Risk","Low Risk","Low Risk"
"61","RJ","PORTO REAL",20,19,19,20,19,19,19,19,20,18,20,19,20,20,19,21,"Medium Risk","Medium Risk","Medium Risk"
"62","RJ","QUATIS",22,21,21,22,21,21,21,21,22,20,22,20,22,22,21,22,"Medium Risk","Low Risk","Low Risk"
"63","RJ","QUEIMADOS",7,7,7,7,7,6,7,7,7,7,7,7,8,7,8,8,"High Risk","High Risk","High Risk"
"64","RJ","QUISSAMÃ",25,23,23,24,23,23,23,23,24,23,24,23,24,24,23,25,"Low Risk","Low Risk","Low Risk"
"65","RJ","RESENDE",12,11,11,12,11,12,11,11,13,11,13,11,13,13,12,14,"High Risk","Medium Risk","Medium Risk"
"66","RJ","RIO BONITO",12,11,11,12,11,12,11,11,13,11,13,11,13,13,12,13,"High Risk","Medium Risk","Medium Risk"
"67","RJ","RIO CLARO",21,20,20,21,20,20,19,20,21,19,21,19,21,21,20,21,"Medium Risk","Low Risk","Low Risk"
"68","RJ","RIO DAS FLORES",26,25,25,26,25,25,24,24,26,24,26,24,26,25,25,26,"Low Risk","Low Risk","Low Risk"
"69","RJ","RIO DAS OSTRAS",13,12,12,13,12,12,12,12,13,12,13,12,14,13,13,14,"High Risk","Medium Risk","Medium Risk"
"70","RJ","RIO DE JANEIRO",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"High Risk","High Risk","High Risk"
"71","RJ","SANTA MARIA MADALENA",28,27,26,27,26,27,26,26,27,26,27,26,28,27,26,28,"Low Risk","Low Risk","Low Risk"
"72","RJ","SANTO ANTÔNIO DE PÁDUA",22,20,20,22,21,21,20,21,22,21,22,21,22,22,22,23,"Medium Risk","Low Risk","Low Risk"
"73","RJ","SÃO FIDÉLIS",26,24,24,25,24,24,24,24,25,24,25,24,25,25,24,26,"Low Risk","Low Risk","Low Risk"
"74","RJ","SÃO FRANCISCO DE ITABAPOANA",24,23,23,24,23,23,23,23,24,23,24,23,24,24,23,25,"Low Risk","Low Risk","Low Risk"
"75","RJ","SÃO GONÇALO",5,5,5,5,5,4,5,5,4,5,4,4,5,4,4,4,"High Risk","High Risk","High Risk"
"76","RJ","SÃO JOÃO DA BARRA",20,18,18,19,18,19,18,19,20,18,20,19,20,20,19,21,"Medium Risk","Medium Risk","Medium Risk"
"77","RJ","SÃO JOÃO DE MERITI",3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,"High Risk","High Risk","High Risk"
"78","RJ","SÃO JOSÉ DE UBÁ",29,27,27,28,27,27,27,27,28,27,29,27,29,28,28,29,"Low Risk","Low Risk","Low Risk"
"79","RJ","SÃO JOSÉ DO VALE DO RIO PRETO",20,18,19,20,19,19,18,19,20,19,20,19,20,20,19,21,"Medium Risk","Medium Risk","Medium Risk"
"80","RJ","SÃO PAULO (S)",28,26,26,27,26,26,26,26,27,25,27,25,27,27,26,27,"Low Risk","Low Risk","Low Risk"
"81","RJ","SÃO PEDRO DA ALDEIA",13,12,12,13,12,12,12,12,13,12,13,12,14,13,13,14,"High Risk","Medium Risk","Medium Risk"
"82","RJ","SÃO SEBASTIÃO DO ALTO",28,26,26,27,26,27,26,26,28,26,28,26,28,28,27,28,"Low Risk","Low Risk","Low Risk"
"83","RJ","SAPUCAIA",23,21,21,22,22,22,21,22,23,22,23,22,23,23,22,24,"Medium Risk","Low Risk","Low Risk"
"84","RJ","SAQUAREMA",12,11,11,12,11,11,11,11,13,11,13,11,13,13,12,13,"High Risk","Medium Risk","Medium Risk"
"85","RJ","SEROPÉDICA",7,8,8,8,8,7,8,8,8,8,8,8,9,8,9,9,"High Risk","High Risk","High Risk"
"86","RJ","SILVA JARDIM",17,16,16,17,16,16,16,16,18,16,18,16,18,17,17,18,"Medium Risk","Medium Risk","Medium Risk"
"87","RJ","SUMIDOURO",25,23,23,24,23,24,23,23,24,23,24,23,25,24,23,25,"Low Risk","Low Risk","Low Risk"
"88","RJ","TANGUÁ",14,13,13,14,13,13,13,13,14,13,14,13,15,14,14,15,"High Risk","Medium Risk","Medium Risk"
"89","RJ","TERESÓPOLIS",12,11,11,12,11,11,11,11,12,11,12,11,12,12,12,13,"High Risk","Medium Risk","Medium Risk"
"90","RJ","TRAJANO DE MORAES",31,29,29,30,29,29,28,28,29,28,29,28,29,29,28,29,"Low Risk","Low Risk","Low Risk"
"91","RJ","TRÊS RIOS",16,14,14,15,15,15,14,15,16,14,16,15,16,16,15,17,"Medium Risk","Medium Risk","Medium Risk"
"92","RJ","VALENÇA",18,16,16,17,17,17,17,17,18,17,18,17,18,18,17,19,"Medium Risk","Medium Risk","Medium Risk"
"93","RJ","VARRE-SAI",30,28,28,29,28,28,28,28,29,28,29,28,30,29,29,30,"Low Risk","Low Risk","Low Risk"
"94","RJ","VASSOURAS",18,17,17,18,17,17,17,17,19,17,19,17,19,19,18,19,"Medium Risk","Medium Risk","Medium Risk"
"95","RJ","VOLTA REDONDA",12,10,10,11,10,11,10,10,12,10,12,10,12,12,11,13,"High Risk","Medium Risk","Medium Risk"
